Meta data,,,
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0),-0.119999599,0.0000024,100000
Channel 1 (PXI1Slot5/1),-0.119999599,0.0000024,100000
,,,
Data,,,
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1),,
1.559362227,-3.54366003,0,
1.559362227,-3.54366003,0.0000024,
1.560721753,-3.542297381,0.0000048,
1.555283647,-3.549110627,0.0000072,
1.551205068,-3.546385328,0.0000096,
1.555283647,-3.558649172,0.000012,
1.564800333,-3.545022679,0.0000144,
1.56208128,-3.542297381,0.0000168,
1.563440806,-3.545022679,0.0000192,
1.559362227,-3.532758836,0.0000216,
1.559362227,-3.547747978,0.000024,
1.5580027,-3.538209433,0.0000264,
1.564800333,-3.546385328,0.0000288,
1.560721753,-3.553198575,0.0000312,
1.553924121,-3.534121485,0.0000336,
1.551205068,-3.555923873,0.000036,
1.552564594,-3.542297381,0.0000384,
1.568878912,-3.546385328,0.0000408,
1.566159859,-3.547747978,0.0000432,
1.567519386,-3.539572082,0.0000456,
1.551205068,-3.546385328,0.000048,
1.563440806,-3.539572082,0.0000504,
1.5580027,-3.534121485,0.0000528,
1.5580027,-3.549110627,0.0000552,
1.570238439,-3.54366003,0.0000576,
1.549845541,-3.539572082,0.00006,
1.556643174,-3.54366003,0.0000624,
1.560721753,-3.550473276,0.0000648,
1.5580027,-3.542297381,0.0000672,
1.56208128,-3.536846784,0.0000696,
1.56208128,-3.545022679,0.000072,
1.559362227,-3.54366003,0.0000744,
1.559362227,-3.540934731,0.0000768,
1.556643174,-3.536846784,0.0000792,
1.553924121,-3.545022679,0.0000816,
1.559362227,-3.538209433,0.000084,
1.563440806,-3.534121485,0.0000864,
1.556643174,-3.531396187,0.0000888,
1.56208128,-3.534121485,0.0000912,
1.5580027,-3.536846784,0.0000936,
1.555283647,-3.538209433,0.000096,
1.556643174,-3.550473276,0.0000984,
1.559362227,-3.539572082,0.0001008,
1.555283647,-3.54366003,0.0001032,
1.5580027,-3.547747978,0.0001056,
1.566159859,-3.550473276,0.000108,
1.563440806,-3.542297381,0.0001104,
1.549845541,-3.547747978,0.0001128,
1.560721753,-3.535484134,0.0001152,
1.56208128,-3.539572082,0.0001176,
1.56208128,-3.538209433,0.00012,
1.559362227,-3.534121485,0.0001224,
1.552564594,-3.538209433,0.0001248,
1.570238439,-3.535484134,0.0001272,
1.56208128,-3.523220291,0.0001296,
1.571597966,-3.532758836,0.000132,
1.564800333,-3.531396187,0.0001344,
1.566159859,-3.535484134,0.0001368,
1.564800333,-3.535484134,0.0001392,
1.566159859,-3.531396187,0.0001416,
1.563440806,-3.527308239,0.000144,
1.564800333,-3.531396187,0.0001464,
1.567519386,-3.536846784,0.0001488,
1.567519386,-3.536846784,0.0001512,
1.571597966,-3.530033537,0.0001536,
1.572957492,-3.542297381,0.000156,
1.567519386,-3.527308239,0.0001584,
1.5580027,-3.531396187,0.0001608,
1.566159859,-3.530033537,0.0001632,
1.568878912,-3.546385328,0.0001656,
1.564800333,-3.528670888,0.000168,
1.56208128,-3.531396187,0.0001704,
1.572957492,-3.52458294,0.0001728,
1.572957492,-3.527308239,0.0001752,
1.563440806,-3.538209433,0.0001776,
1.568878912,-3.530033537,0.00018,
1.570238439,-3.535484134,0.0001824,
1.568878912,-3.534121485,0.0001848,
1.563440806,-3.534121485,0.0001872,
1.56208128,-3.528670888,0.0001896,
1.570238439,-3.535484134,0.000192,
1.574317019,-3.535484134,0.0001944,
1.563440806,-3.528670888,0.0001968,
1.56208128,-3.528670888,0.0001992,
1.566159859,-3.538209433,0.0002016,
1.563440806,-3.528670888,0.000204,
1.56208128,-3.534121485,0.0002064,
1.568878912,-3.532758836,0.0002088,
1.579755125,-3.532758836,0.0002112,
1.566159859,-3.539572082,0.0002136,
1.568878912,-3.528670888,0.000216,
1.566159859,-3.54366003,0.0002184,
1.564800333,-3.536846784,0.0002208,
1.574317019,-3.530033537,0.0002232,
1.572957492,-3.531396187,0.0002256,
1.553924121,-3.539572082,0.000228,
1.564800333,-3.539572082,0.0002304,
1.568878912,-3.528670888,0.0002328,
1.566159859,-3.52458294,0.0002352,
1.563440806,-3.545022679,0.0002376,
1.564800333,-3.531396187,0.00024,
1.567519386,-3.540934731,0.0002424,
1.559362227,-3.531396187,0.0002448,
1.570238439,-3.534121485,0.0002472,
1.571597966,-3.52594559,0.0002496,
1.568878912,-3.532758836,0.000252,
1.563440806,-3.530033537,0.0002544,
1.568878912,-3.527308239,0.0002568,
1.5580027,-3.527308239,0.0002592,
1.559362227,-3.534121485,0.0002616,
1.564800333,-3.528670888,0.000264,
1.568878912,-3.531396187,0.0002664,
