Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.140724592290076, 0.00000281, 100000
Channel 1 (PXI1Slot5/1), -0.140724592290076, 0.00000281, 100000

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-2.99505166092422, -2.77648849747805
-3.00456834665965, -2.77512584821983
-2.99777071399149, -2.77512584821983
-3.00456834665965, -2.76694995267047
-2.99777071399149, -2.76558730341224
-2.99777071399149, -2.76286200489579
-2.99913024052512, -2.76558730341224
-2.99913024052512, -2.75877405712111
-2.99641118745785, -2.75877405712111
-2.99505166092422, -2.75468610934644
-2.99233260785695, -2.75332346008821
-3.00592787319329, -2.74923551231353
-2.99913024052512, -2.75604875860466
-3.00048976705875, -2.75468610934644
-2.99233260785695, -2.74514756453885
-2.99233260785695, -2.74651021379708
-2.99777071399149, -2.73969696750595
-3.00456834665965, -2.7424222660224
-2.99913024052512, -2.73969696750595
-2.99505166092422, -2.73969696750595
-2.99505166092422, -2.73288372121482
-2.99233260785695, -2.7369716689895
-2.99505166092422, -2.72879577344014
-3.00456834665965, -2.73015842269836
-3.00456834665965, -2.72334517640723
-2.99913024052512, -2.72198252714901
-2.99913024052512, -2.72879577344014
-2.99641118745785, -2.72470782566546
-2.99097308132332, -2.72334517640723
-2.99641118745785, -2.7110813330832
-2.99369213439059, -2.71516928085788
-3.00048976705875, -2.7165319301161
-2.99097308132332, -2.70835603456675
-2.99369213439059, -2.7165319301161
-3.00184929359239, -2.71789457937433
-3.00320882012602, -2.71244398234142
-3.00048976705875, -2.70835603456675
-2.99505166092422, -2.70290543753384
-3.00320882012602, -2.69881748975916
-2.99233260785695, -2.70971868382497
-2.99505166092422, -2.70018013901739
-2.99369213439059, -2.69472954198448
-2.99777071399149, -2.69336689272626
-2.99913024052512, -2.69472954198448
-2.99641118745785, -2.70426808679207
-2.99641118745785, -2.69336689272626
-2.99369213439059, -2.69064159420981
-2.99777071399149, -2.69609219124271
-2.99369213439059, -2.68791629569335
-2.99369213439059, -2.68246569866045
-2.99233260785695, -2.69609219124271
-2.99777071399149, -2.68927894495158
-3.00592787319329, -2.68927894495158
-2.99777071399149, -2.6851909971769
-2.99777071399149, -2.67701510162754
-2.99369213439059, -2.68655364643513
-2.99913024052512, -2.68246569866045
-3.00184929359239, -2.679740400144
-2.99369213439059, -2.67837775088577
-2.99369213439059, -2.679740400144
-2.98825402825605, -2.679740400144
-2.99641118745785, -2.67428980311109
-2.99369213439059, -2.67292715385287
-2.99913024052512, -2.66883920607819
-2.99913024052512, -2.67292715385287
-2.99233260785695, -2.66475125830351
-2.99777071399149, -2.67020185533641
-2.99233260785695, -2.66883920607819
-2.99505166092422, -2.66202595978706
-2.99505166092422, -2.65793801201238
-2.99505166092422, -2.66066331052883
-2.99777071399149, -2.65793801201238
-2.99505166092422, -2.66475125830351
-2.99913024052512, -2.6538500642377
-2.99913024052512, -2.65521271349593
-2.99913024052512, -2.6593006612706
-2.99369213439059, -2.66747655681996
-2.99777071399149, -2.65521271349593
-2.99233260785695, -2.64976211646302
