Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.140723854223919, 0.00000281, 100000
Channel 1 (PXI1Slot5/1), -0.140723854223919, 0.00000281, 100000

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-1.99987823830452, -1.81718341968684
-2.00259729137179, -1.81037017339571
-2.00395681790542, -1.81173282265394
-1.99851871177088, -1.80628222562103
-1.99444013216998, -1.80764487487926
-2.00395681790542, -1.80355692710458
-1.99715918523725, -1.7994689793299
-2.00123776483815, -1.80355692710458
-2.00259729137179, -1.80355692710458
-1.99851871177088, -1.80355692710458
-2.00395681790542, -1.79265573303877
-2.00123776483815, -1.79538103155522
-1.99579965870362, -1.78993043452232
-1.99444013216998, -1.794018382297
-1.99715918523725, -1.79265573303877
-1.99987823830452, -1.79538103155522
-2.00259729137179, -1.79265573303877
-2.00123776483815, -1.78993043452232
-2.00395681790542, -1.794018382297
-2.00259729137179, -1.78993043452232
-2.00123776483815, -1.78175453897296
-1.99036155256908, -1.78311718823119
-1.99987823830452, -1.78311718823119
-2.00123776483815, -1.77494129268183
-1.99579965870362, -1.77902924045651
-1.99715918523725, -1.77221599416538
-1.99579965870362, -1.7681280463907
-1.99851871177088, -1.78311718823119
-1.99987823830452, -1.77630394194006
-1.99579965870362, -1.78175453897296
-2.00395681790542, -1.78175453897296
-1.99444013216998, -1.7735786434236
-1.99579965870362, -1.76949069564892
-2.00259729137179, -1.77902924045651
-2.00395681790542, -1.76540274787425
-2.00395681790542, -1.76676539713247
-1.99172107910272, -1.76540274787425
-2.00531634443905, -1.76404009861602
-1.99851871177088, -1.75995215084134
-1.99851871177088, -1.76676539713247
-1.99987823830452, -1.75313890455021
-2.00123776483815, -1.75722685232489
-2.00259729137179, -1.75722685232489
-1.99715918523725, -1.76267744935779
-1.99987823830452, -1.75858950158312
-2.00259729137179, -1.75722685232489
-1.99851871177088, -1.75858950158312
-1.99851871177088, -1.76131480009957
-2.00259729137179, -1.75586420306666
-1.99579965870362, -1.74905095677553
-1.99851871177088, -1.75450155380844
-2.00123776483815, -1.75177625529198
-1.99851871177088, -1.74496300900085
-1.98492344643455, -1.75722685232489
-1.99172107910272, -1.7422377104844
-1.99308060563635, -1.75450155380844
-1.99715918523725, -1.74768830751731
-2.00259729137179, -1.74496300900085
-1.99851871177088, -1.74496300900085
-1.99715918523725, -1.74087506122618
-1.99851871177088, -1.74087506122618
-1.99715918523725, -1.75995215084134
-1.99579965870362, -1.75177625529198
-1.99715918523725, -1.7422377104844
-1.99715918523725, -1.74087506122618
-2.00123776483815, -1.74360035974263
-1.99579965870362, -1.7367871134515
-1.99308060563635, -1.73814976270972
-1.99579965870362, -1.7367871134515
-1.99036155256908, -1.73406181493504
-1.99308060563635, -1.73406181493504
-1.99987823830452, -1.73406181493504
-2.00803539750632, -1.73814976270972
-1.99444013216998, -1.73406181493504
-1.99715918523725, -1.73133651641859
-1.99851871177088, -1.73542446419327
-1.99308060563635, -1.73542446419327
-1.99715918523725, -1.72861121790214
-1.99715918523725, -1.73133651641859
-2.00123776483815, -1.72997386716037
-1.99444013216998, -1.72997386716037
-1.99308060563635, -1.72861121790214
-1.99444013216998, -1.72861121790214
-1.99172107910272, -1.72997386716037
-1.99851871177088, -1.72588591938569
-1.99444013216998, -1.72997386716037
-1.99308060563635, -1.72724856864391
-1.99036155256908, -1.72588591938569
-1.99444013216998, -1.72861121790214
-1.99987823830452, -1.72588591938569
-1.99987823830452, -1.72997386716037
-1.99444013216998, -1.72179797161101
-1.99715918523725, -1.72724856864391
-1.99444013216998, -1.72997386716037
-1.99579965870362, -1.72861121790214
-1.99579965870362, -1.72043532235278
-1.99444013216998, -1.7163473745781
-1.99987823830452, -1.70953412828697
-1.99308060563635, -1.7163473745781
-1.99172107910272, -1.72043532235278
-1.99579965870362, -1.71498472531988
-2.00123776483815, -1.7163473745781
-1.99715918523725, -1.72316062086924
