Meta data,,,
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0),-0.27129112,0.000006,100000
Channel 1 (PXI1Slot5/1),-0.27129112,0.000006,100000
,,,
Data,,,
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1),,
-3.922248757,7.375248476,0,
-3.899136806,7.376611126,0.000006,
-3.908653492,7.372523178,0.000012,
-3.897777279,7.369797879,0.000018,
-3.897777279,7.372523178,0.000024,
-3.910013018,7.365709931,0.00003,
-3.897777279,7.367072581,0.000036,
-3.919529704,7.375248476,0.000042,
-3.931765443,7.372523178,0.000048,
-3.927686863,7.369797879,0.000054,
-3.922248757,7.379336424,0.00006,
-3.916810651,7.380699073,0.000066,
-3.923608283,7.369797879,0.000072,
-3.926327336,7.382061723,0.000078,
-3.907293965,7.367072581,0.000084,
-3.927686863,7.367072581,0.00009,
-3.918170177,7.376611126,0.000096,
-3.922248757,7.372523178,0.000102,
-3.922248757,7.373885827,0.000108,
-3.927686863,7.364347282,0.000114,
-3.930405916,7.375248476,0.00012,
-3.948079761,7.364347282,0.000126,
-3.938563075,7.369797879,0.000132,
-3.954877394,7.371160529,0.000138,
-3.931765443,7.369797879,0.000144,
-3.954877394,7.365709931,0.00015,
-3.949439288,7.362984633,0.000156,
-3.92904639,7.373885827,0.000162,
-3.942641655,7.375248476,0.000168,
-3.942641655,7.367072581,0.000174,
-3.941282128,7.36843523,0.00018,
-3.939922602,7.36843523,0.000186,
-3.930405916,7.36843523,0.000192,
-3.92904639,7.367072581,0.000198,
-3.938563075,7.36843523,0.000204,
-3.941282128,7.365709931,0.00021,
-3.963034553,7.362984633,0.000216,
-3.939922602,7.373885827,0.000222,
-3.957596447,7.36843523,0.000228,
-3.954877394,7.367072581,0.000234,
-3.969832186,7.36843523,0.00024,
-3.95623692,7.371160529,0.000246,
-3.95623692,7.356171387,0.000252,
-3.95623692,7.371160529,0.000258,
-3.965753606,7.372523178,0.000264,
-3.941282128,7.376611126,0.00027,
-3.968472659,7.367072581,0.000276,
-3.967113132,7.373885827,0.000282,
-3.954877394,7.356171387,0.000288,
-3.957596447,7.375248476,0.000294,
-3.953517867,7.365709931,0.0003,
-3.944001181,7.377973775,0.000306,
-3.976629818,7.373885827,0.000312,
-3.954877394,7.36843523,0.000318,
-3.957596447,7.383424372,0.000324,
-3.961675026,7.364347282,0.00033,
-3.963034553,7.365709931,0.000336,
-3.968472659,7.375248476,0.000342,
-3.964394079,7.362984633,0.000348,
-3.977989345,7.372523178,0.000354,
-3.965753606,7.372523178,0.00036,
-3.971191712,7.356171387,0.000366,
-3.984786977,7.361621984,0.000372,
-3.980708398,7.376611126,0.000378,
-3.969832186,7.371160529,0.000384,
-3.975270292,7.372523178,0.00039,
-3.971191712,7.376611126,0.000396,
-3.980708398,7.371160529,0.000402,
-3.988865557,7.365709931,0.000408,
-3.980708398,7.36843523,0.000414,
-3.988865557,7.365709931,0.00042,
-3.969832186,7.373885827,0.000426,
-3.984786977,7.362984633,0.000432,
-3.977989345,7.365709931,0.000438,
-3.984786977,7.367072581,0.000444,
-3.99158461,7.357534036,0.00045,
-3.988865557,7.360259334,0.000456,
-3.983427451,7.356171387,0.000462,
-3.994303663,7.369797879,0.000468,
-4.002460822,7.372523178,0.000474,
-3.997022716,7.369797879,0.00048,
-3.998382243,7.362984633,0.000486,
-3.994303663,7.356171387,0.000492,
-4.007898928,7.371160529,0.000498,
-4.006539402,7.371160529,0.000504,
-4.005179875,7.361621984,0.00051,
-4.002460822,7.365709931,0.000516,
-4.006539402,7.362984633,0.000522,
-4.013337035,7.372523178,0.000528,
-4.002460822,7.356171387,0.000534,
-4.005179875,7.364347282,0.00054,
-4.010617982,7.372523178,0.000546,
-4.011977508,7.367072581,0.000552,
-4.02285372,7.358896685,0.000558,
-4.020134667,7.367072581,0.000564,
-4.014696561,7.369797879,0.00057,
-4.020134667,7.360259334,0.000576,
-4.017415614,7.373885827,0.000582,
-4.014696561,7.361621984,0.000588,
-4.016056088,7.365709931,0.000594,
-4.021494194,7.373885827,0.0006,
-4.02285372,7.352083439,0.000606,
-4.02285372,7.36843523,0.000612,
-4.0269323,7.375248476,0.000618,
-4.032370406,7.367072581,0.000624,
-4.021494194,7.362984633,0.00063,
-4.021494194,7.36843523,0.000636,
-4.025572773,7.360259334,0.000642,
-4.018775141,7.367072581,0.000648,
-4.028291826,7.358896685,0.000654,
-4.029651353,7.364347282,0.00066,
-4.020134667,7.358896685,0.000666,
-4.0269323,7.361621984,0.000672,
-4.035089459,7.360259334,0.000678,
-4.028291826,7.354808737,0.000684,
-4.040527565,7.36843523,0.00069,
-4.039168039,7.364347282,0.000696,
-4.03101088,7.362984633,0.000702,
-4.032370406,7.36843523,0.000708,
-4.043246618,7.36843523,0.000714,
-4.037808512,7.361621984,0.00072,
-4.037808512,7.35072079,0.000726,
-4.041887092,7.356171387,0.000732,
-4.047325198,7.360259334,0.000738,
-4.039168039,7.365709931,0.000744,
-4.041887092,7.362984633,0.00075,
-4.037808512,7.360259334,0.000756,
-4.051403778,7.360259334,0.000762,
-4.047325198,7.36843523,0.000768,
-4.040527565,7.357534036,0.000774,
-4.047325198,7.356171387,0.00078,
-4.048684724,7.369797879,0.000786,
-4.048684724,7.358896685,0.000792,
-4.052763304,7.36843523,0.000798,
-4.043246618,7.356171387,0.000804,
-4.048684724,7.364347282,0.00081,
-4.050044251,7.35072079,0.000816,
-4.05820141,7.361621984,0.000822,
-4.052763304,7.34935814,0.000828,
-4.054122831,7.358896685,0.000834,
-4.050044251,7.347995491,0.00084,
-4.052763304,7.346632842,0.000846,
-4.052763304,7.360259334,0.000852,
-4.056841884,7.357534036,0.000858,
-4.054122831,7.358896685,0.000864,
-4.051403778,7.356171387,0.00087,
-4.05820141,7.354808737,0.000876,
-4.059560937,7.352083439,0.000882,
-4.05820141,7.360259334,0.000888,
-4.059560937,7.360259334,0.000894,
-4.048684724,7.356171387,0.0009,
-4.05820141,7.339819596,0.000906,
-4.055482357,7.357534036,0.000912,
-4.05820141,7.346632842,0.000918,
-4.051403778,7.354808737,0.000924,
-4.066358569,7.345270193,0.00093,
-4.059560937,7.356171387,0.000936,
-4.070437149,7.353446088,0.000942,
-4.043246618,7.345270193,0.000948,
-4.05820141,7.35072079,0.000954,
-4.047325198,7.347995491,0.00096,
-3.997022716,7.354808737,0.000966,
-4.050044251,7.357534036,0.000972,
-4.051403778,7.346632842,0.000978,
-4.051403778,7.353446088,0.000984,
-4.054122831,7.347995491,0.00099,
-3.992944137,7.352083439,0.000996,
-3.990225084,7.35072079,0.001002,
-4.006539402,7.341182245,0.001008,
-4.018775141,7.347995491,0.001014,
-4.024213247,7.352083439,0.00102,
-4.021494194,7.339819596,0.001026,
-4.018775141,7.356171387,0.001032,
-4.041887092,7.347995491,0.001038,
-4.063639516,7.356171387,0.001044,
-4.060920463,7.356171387,0.00105,
-4.032370406,7.35072079,0.001056,
-4.016056088,7.356171387,0.001062,
-4.035089459,7.34935814,0.001068,
-4.028291826,7.352083439,0.001074,
-4.020134667,7.353446088,0.00108,
-4.010617982,7.34935814,0.001086,
-4.001101296,7.354808737,0.001092,
-4.020134667,7.345270193,0.001098,
-4.009258455,7.34935814,0.001104,
-3.992944137,7.346632842,0.00111,
-4.009258455,7.343907543,0.001116,
-4.016056088,7.346632842,0.001122,
-3.994303663,7.343907543,0.001128,
-4.002460822,7.356171387,0.001134,
-3.999741769,7.34935814,0.00114,
-4.016056088,7.34935814,0.001146,
-4.002460822,7.346632842,0.001152,
-4.016056088,7.342544894,0.001158,
-4.02285372,7.352083439,0.001164,
-4.011977508,7.34935814,0.00117,
-4.025572773,7.339819596,0.001176,
-4.024213247,7.337094297,0.001182,
-4.032370406,7.343907543,0.001188,
-4.035089459,7.360259334,0.001194,
-4.016056088,7.346632842,0.0012,
-4.013337035,7.345270193,0.001206,
-4.028291826,7.35072079,0.001212,
-4.011977508,7.35072079,0.001218,
-3.998382243,7.339819596,0.001224,
-4.006539402,7.35072079,0.00123,
-4.020134667,7.337094297,0.001236,
-4.016056088,7.345270193,0.001242,
-4.035089459,7.338456946,0.001248,
-4.025572773,7.343907543,0.001254,
-4.016056088,7.343907543,0.00126,
-4.013337035,7.339819596,0.001266,
-4.009258455,7.356171387,0.001272,
-4.007898928,7.341182245,0.001278,
-4.005179875,7.343907543,0.001284,
-4.010617982,7.346632842,0.00129,
-3.998382243,7.345270193,0.001296,
-3.998382243,7.34935814,0.001302,
-3.997022716,7.342544894,0.001308,
-3.992944137,7.341182245,0.001314,
-4.002460822,7.338456946,0.00132,
-4.001101296,7.345270193,0.001326,
-3.998382243,7.343907543,0.001332,
-4.001101296,7.341182245,0.001338,
-4.009258455,7.341182245,0.001344,
-4.017415614,7.342544894,0.00135,
-4.020134667,7.334368999,0.001356,
-4.020134667,7.339819596,0.001362,
-4.013337035,7.342544894,0.001368,
-4.033729933,7.339819596,0.001374,
-4.017415614,7.341182245,0.00138,
-4.028291826,7.341182245,0.001386,
-4.029651353,7.343907543,0.001392,
-4.029651353,7.34935814,0.001398,
-3.992944137,7.343907543,0.001404,
-4.010617982,7.346632842,0.00141,
-4.018775141,7.342544894,0.001416,
-4.003820349,7.338456946,0.001422,
-3.997022716,7.335731648,0.001428,
-4.018775141,7.338456946,0.001434,
-3.994303663,7.330281051,0.00144,
-3.997022716,7.339819596,0.001446,
-3.997022716,7.327555752,0.001452,
-3.997022716,7.327555752,0.001458,
-3.99566319,7.334368999,0.001464,
-3.998382243,7.335731648,0.00147,
-3.998382243,7.334368999,0.001476,
-3.994303663,7.338456946,0.001482,
-3.998382243,7.333006349,0.001488,
-3.988865557,7.334368999,0.001494,
-4.018775141,7.339819596,0.0015,
-4.003820349,7.330281051,0.001506,
-3.998382243,7.330281051,0.001512,
-3.990225084,7.338456946,0.001518,
-4.002460822,7.334368999,0.001524,
-4.003820349,7.328918402,0.00153,
-3.99566319,7.343907543,0.001536,
-3.997022716,7.328918402,0.001542,
-4.016056088,7.3316437,0.001548,
-3.99566319,7.341182245,0.001554,
-4.002460822,7.326193103,0.00156,
-3.999741769,7.3316437,0.001566,
-3.99566319,7.338456946,0.001572,
-3.999741769,7.327555752,0.001578,
-3.999741769,7.334368999,0.001584,
-4.009258455,7.323467804,0.00159,
-4.009258455,7.335731648,0.001596,
-4.001101296,7.323467804,0.001602,
-4.005179875,7.327555752,0.001608,
-3.988865557,7.3316437,0.001614,
-4.003820349,7.327555752,0.00162,
-4.011977508,7.328918402,0.001626,
-4.025572773,7.323467804,0.001632,
-4.028291826,7.320742506,0.001638,
-4.013337035,7.326193103,0.001644,
-4.021494194,7.3316437,0.00165,
-4.016056088,7.318017207,0.001656,
-4.009258455,7.322105155,0.001662,
-4.009258455,7.3316437,0.001668,
-4.021494194,7.3316437,0.001674,
-4.018775141,7.335731648,0.00168,
-4.014696561,7.330281051,0.001686,
-4.014696561,7.322105155,0.001692,
-4.020134667,7.330281051,0.001698,
-4.021494194,7.333006349,0.001704,
-4.021494194,7.326193103,0.00171,
-4.018775141,7.327555752,0.001716,
-4.020134667,7.31392926,0.001722,
-4.02285372,7.328918402,0.001728,
-4.02285372,7.326193103,0.001734,
-4.03101088,7.322105155,0.00174,
-4.016056088,7.320742506,0.001746,
-4.018775141,7.322105155,0.001752,
-4.0269323,7.328918402,0.001758,
-4.017415614,7.3316437,0.001764,
-4.014696561,7.324830454,0.00177,
-4.020134667,7.318017207,0.001776,
-4.02285372,7.319379857,0.001782,
-4.014696561,7.315291909,0.001788,
-4.020134667,7.323467804,0.001794,
-4.02285372,7.326193103,0.0018,
-4.028291826,7.318017207,0.001806,
-4.037808512,7.326193103,0.001812,
-4.028291826,7.328918402,0.001818,
-4.033729933,7.318017207,0.001824,
-4.037808512,7.31256661,0.00183,
-4.018775141,7.322105155,0.001836,
-4.0269323,7.327555752,0.001842,
-4.047325198,7.31392926,0.001848,
-4.03101088,7.318017207,0.001854,
-4.033729933,7.319379857,0.00186,
-4.044606145,7.316654558,0.001866,
-4.035089459,7.322105155,0.001872,
-4.032370406,7.311203961,0.001878,
-4.028291826,7.318017207,0.001884,
-4.037808512,7.323467804,0.00189,
-4.036448986,7.324830454,0.001896,
-4.041887092,7.31392926,0.001902,
-4.0269323,7.315291909,0.001908,
-4.03101088,7.311203961,0.001914,
-4.029651353,7.308478663,0.00192,
-4.037808512,7.31256661,0.001926,
-4.040527565,7.309841312,0.001932,
-4.028291826,7.316654558,0.001938,
-4.036448986,7.315291909,0.001944,
-4.0269323,7.320742506,0.00195,
-4.041887092,7.315291909,0.001956,
-4.044606145,7.319379857,0.001962,
-4.033729933,7.316654558,0.001968,
-4.044606145,7.304390715,0.001974,
-4.045965671,7.309841312,0.00198,
-4.044606145,7.31256661,0.001986,
-4.047325198,7.31256661,0.001992,
-4.037808512,7.316654558,0.001998,
-4.043246618,7.298940118,0.002004,
-4.035089459,7.31256661,0.00201,
-4.044606145,7.315291909,0.002016,
-4.035089459,7.311203961,0.002022,
-4.035089459,7.322105155,0.002028,
-4.036448986,7.308478663,0.002034,
-4.039168039,7.319379857,0.00204,
-4.036448986,7.307116013,0.002046,
-4.045965671,7.31392926,0.002052,
-4.040527565,7.307116013,0.002058,
-4.05820141,7.308478663,0.002064,
-4.054122831,7.316654558,0.00207,
-4.06227999,7.318017207,0.002076,
-4.051403778,7.311203961,0.002082,
-4.044606145,7.303028066,0.002088,
-4.041887092,7.320742506,0.002094,
-4.050044251,7.31256661,0.0021,
-4.054122831,7.303028066,0.002106,
-4.054122831,7.308478663,0.002112,
-4.050044251,7.316654558,0.002118,
-4.059560937,7.301665416,0.002124,
-4.054122831,7.316654558,0.00213,
-4.045965671,7.301665416,0.002136,
-4.051403778,7.305753364,0.002142,
-4.048684724,7.320742506,0.002148,
-4.054122831,7.308478663,0.002154,
-4.052763304,7.307116013,0.00216,
-4.054122831,7.307116013,0.002166,
-4.052763304,7.304390715,0.002172,
-4.063639516,7.311203961,0.002178,
-4.06227999,7.301665416,0.002184,
-4.06227999,7.31392926,0.00219,
-4.063639516,7.31256661,0.002196,
-4.063639516,7.304390715,0.002202,
-4.060920463,7.300302767,0.002208,
-4.051403778,7.298940118,0.002214,
-4.054122831,7.316654558,0.00222,
-4.059560937,7.296214819,0.002226,
-4.054122831,7.303028066,0.002232,
-4.064999043,7.303028066,0.002238,
-4.067718096,7.304390715,0.002244,
-4.059560937,7.29485217,0.00225,
-4.051403778,7.316654558,0.002256,
-4.064999043,7.308478663,0.002262,
-4.055482357,7.31256661,0.002268,
-4.064999043,7.297577469,0.002274,
-4.063639516,7.296214819,0.00228,
-4.06227999,7.292126872,0.002286,
-4.05820141,7.300302767,0.002292,
-4.063639516,7.305753364,0.002298,
-4.059560937,7.292126872,0.002304,
-4.059560937,7.311203961,0.00231,
-4.05820141,7.29485217,0.002316,
-4.06227999,7.298940118,0.002322,
-4.063639516,7.308478663,0.002328,
-4.056841884,7.300302767,0.002334,
-4.059560937,7.303028066,0.00234,
-4.05820141,7.301665416,0.002346,
-4.064999043,7.293489521,0.002352,
-4.060920463,7.300302767,0.002358,
-4.06227999,7.300302767,0.002364,
-4.060920463,7.290764222,0.00237,
-4.060920463,7.296214819,0.002376,
-4.063639516,7.297577469,0.002382,
-4.059560937,7.286676275,0.002388,
-4.055482357,7.289401573,0.002394,
-4.047325198,7.31256661,0.0024,
-4.052763304,7.29485217,0.002406,
-4.073156202,7.296214819,0.002412,
-4.064999043,7.303028066,0.002418,
-4.060920463,7.296214819,0.002424,
-4.064999043,7.300302767,0.00243,
-4.064999043,7.288038924,0.002436,
-4.077234782,7.300302767,0.002442,
-4.081313361,7.296214819,0.002448,
-4.003820349,7.29485217,0.002454,
-4.041887092,7.296214819,0.00246,
-3.999741769,7.290764222,0.002466,
-3.972551239,7.290764222,0.002472,
-3.952158341,7.293489521,0.002478,
-3.990225084,7.296214819,0.002484,
