Meta data,,,
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0),-0.27129112,0.000006,100000
Channel 1 (PXI1Slot5/1),-0.27129112,0.000006,100000
,,,
Data,,,
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1),,
-3.871946275,7.304390715,0,
-3.873305802,7.305753364,0.000006,
-3.870586749,7.304390715,0.000012,
-3.873305802,7.318017207,0.000018,
-3.873305802,7.307116013,0.000024,
-3.873305802,7.31256661,0.00003,
-3.870586749,7.31392926,0.000036,
-3.870586749,7.318017207,0.000042,
-3.869227222,7.31392926,0.000048,
-3.867867696,7.324830454,0.000054,
-3.867867696,7.320742506,0.00006,
-3.870586749,7.318017207,0.000066,
-3.863789116,7.316654558,0.000072,
-3.869227222,7.327555752,0.000078,
-3.861070063,7.330281051,0.000084,
-3.85427243,7.323467804,0.00009,
-3.85835101,7.319379857,0.000096,
-3.867867696,7.327555752,0.000102,
-3.85835101,7.334368999,0.000108,
-3.861070063,7.328918402,0.000114,
-3.861070063,7.335731648,0.00012,
-3.861070063,7.320742506,0.000126,
-3.859710536,7.343907543,0.000132,
-3.861070063,7.330281051,0.000138,
-3.863789116,7.323467804,0.000144,
-3.861070063,7.327555752,0.00015,
-3.869227222,7.322105155,0.000156,
-3.859710536,7.3316437,0.000162,
-3.869227222,7.327555752,0.000168,
-3.85835101,7.327555752,0.000174,
-3.863789116,7.328918402,0.00018,
-3.873305802,7.330281051,0.000186,
-3.866508169,7.316654558,0.000192,
-3.863789116,7.333006349,0.000198,
-3.863789116,7.335731648,0.000204,
-3.862429589,7.330281051,0.00021,
-3.870586749,7.324830454,0.000216,
-3.865148642,7.330281051,0.000222,
-3.877384381,7.318017207,0.000228,
-3.873305802,7.319379857,0.000234,
-3.862429589,7.328918402,0.00024,
-3.867867696,7.337094297,0.000246,
-3.866508169,7.318017207,0.000252,
-3.866508169,7.338456946,0.000258,
-3.867867696,7.334368999,0.000264,
-3.855631957,7.335731648,0.00027,
-3.878743908,7.320742506,0.000276,
-3.876024855,7.319379857,0.000282,
-3.865148642,7.324830454,0.000288,
-3.881462961,7.31256661,0.000294,
-3.869227222,7.31256661,0.0003,
-3.871946275,7.326193103,0.000306,
-3.869227222,7.318017207,0.000312,
-3.865148642,7.322105155,0.000318,
-3.873305802,7.318017207,0.000324,
-3.876024855,7.309841312,0.00033,
-3.880103434,7.318017207,0.000336,
-3.886901067,7.315291909,0.000342,
-3.871946275,7.31256661,0.000348,
-3.888260594,7.308478663,0.000354,
-3.884182014,7.293489521,0.00036,
-3.884182014,7.31392926,0.000366,
-3.881462961,7.316654558,0.000372,
-3.873305802,7.311203961,0.000378,
-3.881462961,7.311203961,0.000384,
-3.881462961,7.305753364,0.00039,
-3.876024855,7.309841312,0.000396,
-3.870586749,7.3316437,0.000402,
-3.878743908,7.316654558,0.000408,
-3.873305802,7.318017207,0.000414,
-3.871946275,7.335731648,0.00042,
-3.870586749,7.324830454,0.000426,
-3.871946275,7.320742506,0.000432,
-3.884182014,7.316654558,0.000438,
-3.871946275,7.324830454,0.000444,
-3.876024855,7.316654558,0.00045,
-3.880103434,7.31392926,0.000456,
-3.880103434,7.319379857,0.000462,
-3.884182014,7.31392926,0.000468,
-3.882822487,7.31392926,0.000474,
-3.88554154,7.31256661,0.00048,
-3.876024855,7.305753364,0.000486,
-3.876024855,7.308478663,0.000492,
-3.884182014,7.316654558,0.000498,
-3.888260594,7.288038924,0.000504,
-3.888260594,7.304390715,0.00051,
-3.88554154,7.304390715,0.000516,
-3.878743908,7.309841312,0.000522,
-3.873305802,7.311203961,0.000528,
-3.886901067,7.304390715,0.000534,
-3.880103434,7.328918402,0.00054,
-3.873305802,7.319379857,0.000546,
-3.880103434,7.315291909,0.000552,
-3.878743908,7.323467804,0.000558,
-3.881462961,7.307116013,0.000564,
-3.881462961,7.308478663,0.00057,
-3.884182014,7.309841312,0.000576,
-3.881462961,7.304390715,0.000582,
-3.896417753,7.307116013,0.000588,
-3.88554154,7.31256661,0.000594,
-3.88962012,7.304390715,0.0006,
-3.886901067,7.31256661,0.000606,
-3.88962012,7.307116013,0.000612,
-3.882822487,7.301665416,0.000618,
-3.886901067,7.303028066,0.000624,
-3.895058226,7.303028066,0.00063,
-3.895058226,7.305753364,0.000636,
-3.892339173,7.296214819,0.000642,
-3.895058226,7.300302767,0.000648,
-3.890979647,7.296214819,0.000654,
-3.901855859,7.301665416,0.00066,
-3.895058226,7.301665416,0.000666,
-3.88554154,7.305753364,0.000672,
-3.888260594,7.301665416,0.000678,
-3.895058226,7.300302767,0.000684,
-3.88554154,7.301665416,0.00069,
-3.895058226,7.305753364,0.000696,
-3.903215385,7.301665416,0.000702,
-3.903215385,7.290764222,0.000708,
-3.904574912,7.293489521,0.000714,
-3.904574912,7.298940118,0.00072,
-3.897777279,7.298940118,0.000726,
-3.896417753,7.290764222,0.000732,
-3.890979647,7.29485217,0.000738,
-3.897777279,7.297577469,0.000744,
-3.897777279,7.29485217,0.00075,
-3.903215385,7.286676275,0.000756,
-3.899136806,7.290764222,0.000762,
-3.899136806,7.300302767,0.000768,
-3.896417753,7.29485217,0.000774,
-3.896417753,7.288038924,0.00078,
-3.897777279,7.293489521,0.000786,
-3.897777279,7.297577469,0.000792,
-3.901855859,7.283950976,0.000798,
-3.900496332,7.293489521,0.000804,
-3.895058226,7.278500379,0.00081,
-3.897777279,7.29485217,0.000816,
-3.910013018,7.288038924,0.000822,
-3.892339173,7.289401573,0.000828,
-3.895058226,7.292126872,0.000834,
-3.908653492,7.290764222,0.00084,
-3.901855859,7.298940118,0.000846,
-3.901855859,7.27713773,0.000852,
-3.895058226,7.292126872,0.000858,
-3.896417753,7.29485217,0.000864,
-3.897777279,7.292126872,0.00087,
-3.899136806,7.297577469,0.000876,
-3.911372545,7.282588327,0.000882,
-3.886901067,7.307116013,0.000888,
-3.911372545,7.288038924,0.000894,
-3.904574912,7.292126872,0.0009,
-3.901855859,7.29485217,0.000906,
-3.903215385,7.296214819,0.000912,
-3.919529704,7.282588327,0.000918,
-3.905934438,7.286676275,0.000924,
-3.910013018,7.267599185,0.00093,
-3.908653492,7.273049782,0.000936,
-3.905934438,7.27577508,0.000942,
-3.916810651,7.27713773,0.000948,
-3.912732071,7.27713773,0.000954,
-3.911372545,7.271687133,0.00096,
-3.92088923,7.268961834,0.000966,
-3.912732071,7.268961834,0.000972,
-3.922248757,7.262148588,0.000978,
-3.918170177,7.273049782,0.000984,
-3.914091598,7.27713773,0.00099,
-3.922248757,7.259423289,0.000996,
-3.930405916,7.264873886,0.001002,
-3.919529704,7.27577508,0.001008,
-3.911372545,7.283950976,0.001014,
-3.910013018,7.268961834,0.00102,
-3.930405916,7.262148588,0.001026,
-3.923608283,7.262148588,0.001032,
-3.923608283,7.273049782,0.001038,
-3.919529704,7.268961834,0.001044,
-3.92088923,7.262148588,0.00105,
-3.916810651,7.260785939,0.001056,
-3.92496781,7.255335342,0.001062,
-3.92496781,7.25806064,0.001068,
-3.904574912,7.296214819,0.001074,
-3.907293965,7.270324483,0.00108,
-3.873305802,7.315291909,0.001086,
-3.903215385,7.273049782,0.001092,
-3.859710536,7.369797879,0.001098,
-3.859710536,7.357534036,0.001104,
-3.876024855,7.319379857,0.00111,
-3.92088923,7.273049782,0.001116,
-4.006539402,7.155861946,0.001122,
-3.886901067,7.304390715,0.001128,
-3.897777279,7.279863028,0.001134,
-3.901855859,7.301665416,0.00114,
-3.859710536,7.343907543,0.001146,
-3.8936987,7.296214819,0.001152,
-3.892339173,7.300302767,0.001158,
-3.852912904,7.334368999,0.001164,
-3.843396218,7.380699073,0.00117,
-3.828441426,7.394325566,0.001176,
-3.837958112,7.392962917,0.001182,
-3.840677165,7.383424372,0.001188,
-3.847474798,7.38751232,0.001194,
-3.847474798,7.373885827,0.0012,
-3.862429589,7.34935814,0.001206,
-3.85835101,7.360259334,0.001212,
-3.869227222,7.341182245,0.001218,
-3.8936987,7.308478663,0.001224,
-3.870586749,7.334368999,0.00123,
-3.865148642,7.357534036,0.001236,
-3.869227222,7.35072079,0.001242,
-3.874665328,7.345270193,0.001248,
-3.869227222,7.346632842,0.001254,
-3.85427243,7.36843523,0.00126,
-3.85835101,7.34935814,0.001266,
-3.850193851,7.373885827,0.001272,
-3.836598585,7.38751232,0.001278,
-3.836598585,7.388874969,0.001284,
-3.837958112,7.380699073,0.00129,
-3.843396218,7.398413514,0.001296,
-3.842036691,7.388874969,0.001302,
-3.863789116,7.35072079,0.001308,
-3.85427243,7.369797879,0.001314,
-3.848834324,7.380699073,0.00132,
-3.851553377,7.379336424,0.001326,
-3.859710536,7.375248476,0.001332,
-3.856991483,7.373885827,0.001338,
-3.839317638,7.392962917,0.001344,
-3.850193851,7.379336424,0.00135,
-3.855631957,7.383424372,0.001356,
-3.852912904,7.383424372,0.001362,
-3.865148642,7.369797879,0.001368,
-3.850193851,7.369797879,0.001374,
-3.880103434,7.361621984,0.00138,
-3.846115271,7.382061723,0.001386,
-3.874665328,7.356171387,0.001392,
-3.850193851,7.382061723,0.001398,
-3.850193851,7.375248476,0.001404,
-3.850193851,7.388874969,0.00141,
-3.847474798,7.380699073,0.001416,
-3.856991483,7.388874969,0.001422,
-3.852912904,7.372523178,0.001428,
-3.859710536,7.375248476,0.001434,
-3.859710536,7.375248476,0.00144,
-3.85835101,7.372523178,0.001446,
-3.863789116,7.371160529,0.001452,
-3.871946275,7.358896685,0.001458,
-3.855631957,7.367072581,0.001464,
-3.855631957,7.373885827,0.00147,
-3.861070063,7.361621984,0.001476,
-3.852912904,7.382061723,0.001482,
-3.852912904,7.372523178,0.001488,
-3.863789116,7.358896685,0.001494,
-3.85427243,7.36843523,0.0015,
-3.861070063,7.373885827,0.001506,
-3.865148642,7.362984633,0.001512,
-3.861070063,7.357534036,0.001518,
-3.863789116,7.360259334,0.001524,
-3.870586749,7.354808737,0.00153,
-3.866508169,7.367072581,0.001536,
-3.85427243,7.380699073,0.001542,
-3.869227222,7.372523178,0.001548,
-3.876024855,7.367072581,0.001554,
-3.863789116,7.362984633,0.00156,
-3.867867696,7.361621984,0.001566,
-3.865148642,7.365709931,0.001572,
-3.876024855,7.361621984,0.001578,
-3.866508169,7.362984633,0.001584,
-3.85835101,7.367072581,0.00159,
-3.874665328,7.358896685,0.001596,
-3.873305802,7.371160529,0.001602,
-3.871946275,7.35072079,0.001608,
-3.869227222,7.364347282,0.001614,
-3.873305802,7.35072079,0.00162,
-3.874665328,7.360259334,0.001626,
-3.870586749,7.362984633,0.001632,
-3.881462961,7.345270193,0.001638,
-3.880103434,7.356171387,0.001644,
-3.877384381,7.352083439,0.00165,
-3.882822487,7.347995491,0.001656,
-3.882822487,7.345270193,0.001662,
-3.873305802,7.356171387,0.001668,
-3.886901067,7.347995491,0.001674,
-3.882822487,7.352083439,0.00168,
-3.877384381,7.343907543,0.001686,
-3.88962012,7.34935814,0.001692,
-3.876024855,7.353446088,0.001698,
-3.877384381,7.343907543,0.001704,
-3.880103434,7.347995491,0.00171,
-3.877384381,7.343907543,0.001716,
-3.878743908,7.35072079,0.001722,
-3.886901067,7.347995491,0.001728,
-3.890979647,7.343907543,0.001734,
-3.884182014,7.35072079,0.00174,
-3.882822487,7.343907543,0.001746,
-3.886901067,7.339819596,0.001752,
-3.886901067,7.337094297,0.001758,
-3.884182014,7.342544894,0.001764,
-3.880103434,7.352083439,0.00177,
-3.88554154,7.343907543,0.001776,
-3.886901067,7.343907543,0.001782,
-3.877384381,7.35072079,0.001788,
-3.895058226,7.346632842,0.001794,
-3.888260594,7.330281051,0.0018,
-3.886901067,7.346632842,0.001806,
-3.886901067,7.3316437,0.001812,
-3.895058226,7.341182245,0.001818,
-3.890979647,7.330281051,0.001824,
-3.890979647,7.333006349,0.00183,
-3.892339173,7.343907543,0.001836,
-3.884182014,7.346632842,0.001842,
-3.884182014,7.35072079,0.001848,
-3.886901067,7.334368999,0.001854,
-3.895058226,7.333006349,0.00186,
-3.895058226,7.337094297,0.001866,
-3.901855859,7.327555752,0.001872,
-3.897777279,7.323467804,0.001878,
-3.899136806,7.326193103,0.001884,
-3.88554154,7.334368999,0.00189,
-3.901855859,7.320742506,0.001896,
-3.897777279,7.327555752,0.001902,
-3.890979647,7.342544894,0.001908,
-3.895058226,7.337094297,0.001914,
-3.910013018,7.323467804,0.00192,
-3.896417753,7.328918402,0.001926,
-3.890979647,7.333006349,0.001932,
-3.899136806,7.323467804,0.001938,
-3.903215385,7.31392926,0.001944,
-3.918170177,7.308478663,0.00195,
-3.907293965,7.307116013,0.001956,
-3.895058226,7.324830454,0.001962,
-3.8936987,7.326193103,0.001968,
-3.907293965,7.316654558,0.001974,
-3.899136806,7.328918402,0.00198,
-3.895058226,7.3316437,0.001986,
-3.899136806,7.324830454,0.001992,
-3.890979647,7.330281051,0.001998,
-3.903215385,7.318017207,0.002004,
-3.908653492,7.315291909,0.00201,
-3.903215385,7.319379857,0.002016,
-3.903215385,7.327555752,0.002022,
-3.8936987,7.327555752,0.002028,
-3.903215385,7.327555752,0.002034,
-3.900496332,7.323467804,0.00204,
-3.904574912,7.330281051,0.002046,
-3.895058226,7.328918402,0.002052,
-3.900496332,7.334368999,0.002058,
-3.895058226,7.328918402,0.002064,
-3.897777279,7.323467804,0.00207,
-3.905934438,7.322105155,0.002076,
-3.907293965,7.308478663,0.002082,
-3.904574912,7.31256661,0.002088,
-3.900496332,7.318017207,0.002094,
-3.892339173,7.326193103,0.0021,
-3.903215385,7.322105155,0.002106,
-3.908653492,7.318017207,0.002112,
-3.911372545,7.309841312,0.002118,
-3.910013018,7.31392926,0.002124,
-3.911372545,7.309841312,0.00213,
-3.919529704,7.303028066,0.002136,
-3.903215385,7.316654558,0.002142,
-3.905934438,7.318017207,0.002148,
-3.903215385,7.315291909,0.002154,
-3.903215385,7.318017207,0.00216,
-3.903215385,7.327555752,0.002166,
-3.897777279,7.326193103,0.002172,
-3.908653492,7.309841312,0.002178,
-3.901855859,7.319379857,0.002184,
-3.901855859,7.319379857,0.00219,
-3.904574912,7.307116013,0.002196,
-3.899136806,7.324830454,0.002202,
-3.907293965,7.31256661,0.002208,
-3.911372545,7.31256661,0.002214,
-3.907293965,7.31256661,0.00222,
-3.919529704,7.296214819,0.002226,
-3.918170177,7.311203961,0.002232,
-3.905934438,7.305753364,0.002238,
-3.923608283,7.288038924,0.002244,
-3.911372545,7.289401573,0.00225,
-3.911372545,7.305753364,0.002256,
-3.927686863,7.293489521,0.002262,
-3.918170177,7.305753364,0.002268,
-3.92496781,7.288038924,0.002274,
-3.919529704,7.292126872,0.00228,
-3.910013018,7.289401573,0.002286,
-3.915451124,7.29485217,0.002292,
-3.922248757,7.288038924,0.002298,
-3.914091598,7.301665416,0.002304,
-3.916810651,7.298940118,0.00231,
-3.92496781,7.29485217,0.002316,
-3.922248757,7.303028066,0.002322,
-3.923608283,7.285313625,0.002328,
-3.92088923,7.288038924,0.002334,
-3.919529704,7.305753364,0.00234,
-3.92088923,7.297577469,0.002346,
-3.915451124,7.285313625,0.002352,
-3.92088923,7.303028066,0.002358,
-3.922248757,7.297577469,0.002364,
-3.918170177,7.288038924,0.00237,
-3.923608283,7.289401573,0.002376,
-3.912732071,7.290764222,0.002382,
-3.918170177,7.289401573,0.002388,
-3.912732071,7.289401573,0.002394,
-3.915451124,7.288038924,0.0024,
-3.915451124,7.304390715,0.002406,
-3.908653492,7.297577469,0.002412,
-3.918170177,7.300302767,0.002418,
-3.92088923,7.296214819,0.002424,
-3.918170177,7.290764222,0.00243,
-3.923608283,7.281225677,0.002436,
-3.92088923,7.289401573,0.002442,
-3.912732071,7.29485217,0.002448,
-3.930405916,7.288038924,0.002454,
-3.919529704,7.289401573,0.00246,
-3.918170177,7.29485217,0.002466,
-3.912732071,7.290764222,0.002472,
-3.919529704,7.293489521,0.002478,
-3.922248757,7.290764222,0.002484,
