# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	9.130535e+000	1.003930e+001	9.584905e+000
10           	walls	8.028671e+000	8.965741e+000	8.274621e+000
31           	walls	8.028671e+000	8.965741e+000	8.274621e+000
1000         	walls	3.951868e+000	8.961458e+000	4.579566e+000
1668         	walls	3.944472e+000	8.961458e+000	4.590202e+000
2000         	walls	2.074055e+000	8.962365e+000	3.028608e+000
2672         	walls	1.964374e+000	8.962365e+000	2.798089e+000
2700         	walls	1.964374e+000	8.962365e+000	2.798089e+000
2701         	walls	1.964374e+000	8.962365e+000	2.798089e+000
2771         	walls	1.964376e+000	8.962323e+000	2.798083e+000
2833         	walls	1.964376e+000	8.962281e+000	2.798081e+000
