 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,-0.00188683,-0.242503,-0.0442238,-0.000532288,0.0239575,-0.0083893,0.0265557,-0.0031305,-1.27046,0.00792923,41,29,0.229777,5.25011,6.6991,1.74464,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00358926,-0.241271,-0.0430449,-5.8302e-05,0.0229634,-0.00648358,0.0246638,-0.00175868,-1.31431,0.00742396,48,29,0.187258,5.22651,6.62169,1.79309,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00439121,-0.2402,-0.0410087,0.000319584,0.0221681,-0.00456945,0.0230853,-0.000597578,-1.37271,0.00731015,55,29,0.158577,5.20287,6.55417,1.84352,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00474396,-0.2396,-0.039462,0.000594445,0.0215756,-0.00264284,0.0219034,0.000266667,-1.4474,0.00723574,62,29,0.141779,5.18665,6.48696,1.91393,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00468556,-0.239674,-0.0386145,0.000760172,0.0211894,-0.000699613,0.0212133,0.000736241,-1.5366,0.00730744,69,29,0.137234,5.1856,6.42578,2.00306,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00471228,-0.240161,-0.0381225,0.000811623,0.0210118,0.00126463,0.0210907,0.000732759,1.50852,0.00774041,76,29,0.132933,5.19535,6.3437,2.10135,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00549031,-0.240654,-0.03865,0.000744742,0.0210443,0.00325471,0.0215533,0.000235669,1.41564,0.00807421,83,29,0.118649,5.20711,6.2193,2.21201,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00541898,-0.253878,-0.0537687,-0.0105544,0.0416744,-0.00738956,0.0426998,-0.0115798,-1.43292,0.00923336,41,36,0.43145,5.50427,6.76805,1.68476,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.00121942,-0.250608,-0.0509347,-0.0102764,0.0409854,-0.00566731,0.0416045,-0.0108955,-1.46199,0.00796445,48,36,0.328652,5.43703,6.65104,1.68879,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.0018029,-0.248346,-0.0487068,-0.0100675,0.0404463,-0.00393566,0.0407511,-0.0103723,-1.49351,0.00796631,55,36,0.253341,5.39132,6.54868,1.71048,6.85982,-3.46084
