 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,0.000543777,-0.215628,-0.0258026,-0.00112733,0.0275816,-0.00901817,0.0301793,-0.00372509,-1.29033,0.00729104,41,29,0.176905,4.65869,6.85144,1.15654,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00139687,-0.215021,-0.0243311,-0.000598659,0.0266125,-0.00692293,0.0282726,-0.00225869,-1.33545,0.00690588,48,29,0.128551,4.65137,6.77129,1.2142,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00249749,-0.21428,-0.0224455,-0.00017371,0.0258442,-0.00481548,0.0267069,-0.00103637,-1.39353,0.00681621,55,29,0.0951009,4.63508,6.69725,1.27158,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00305511,-0.213749,-0.0207457,0.000140057,0.02528,-0.00269207,0.0255651,-0.000144986,-1.46531,0.00665739,62,29,0.0737685,4.61848,6.62707,1.34491,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00313693,-0.213732,-0.0196587,0.000336027,0.0249226,-0.00054887,0.0249349,0.00032378,-1.54849,0.00667008,69,29,0.0655145,4.61166,6.5647,1.43541,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00341382,-0.214222,-0.019324,0.000408582,0.0247738,0.00161823,0.0248808,0.000301577,1.50477,0.00713302,76,29,0.057358,4.61736,6.47692,1.53839,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00416016,-0.21449,-0.0190224,0.000353226,0.0248344,0.00381377,0.0254147,-0.000227138,1.41978,0.00770255,83,29,0.0398076,4.62167,6.35822,1.64497,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00762702,-0.228204,-0.0356233,-0.011265,0.0454123,-0.00793651,0.0465027,-0.0123554,-1.43426,0.00875492,41,36,0.375617,4.93212,6.91414,1.12959,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.0031821,-0.225626,-0.032443,-0.0109453,0.0447497,-0.0060409,0.0453974,-0.011593,-1.46399,0.00746833,48,36,0.266485,4.87821,6.79442,1.14843,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,2.25086e-05,-0.223813,-0.0297468,-0.0107028,0.0442411,-0.00413202,0.0445501,-0.0110118,-1.49615,0.00729508,55,36,0.186407,4.84239,6.69229,1.17785,6.85982,-3.46084
