File:    C:\exports\T804.txt
Created: Friday, April 28, 2017 12:54:49 PM
Header time format: Absolute
Time of first sample: 118 12:53:47.693618299
Title:   T804

Time	Vel 1 Sense	SG3 TBar Axial	Thermocouple	Flash Trigger	TBar Poisson	IR 1	Gun Fire 24V	Vel 2 Sense	SG2 IBar	Photron Exp Out 1	Photron Exp Out 2	IR 2	Ev C1_01	Ev C1_08
s	V	V	V	V	V		V	V	V					
0	4.85097	-0.0361067	-3.52991E-005	4.97696	-0.026413	0	23.8881	4.88137	0.00520774	0	0	0	0	0
5E-007	4.85266	-0.0361201	-3.52991E-005	4.97628	-0.0264504	0	23.8982	4.87865	0.00526129	0	0	0	0	0
1E-006	4.85097	-0.0361336	-3.19524E-005	4.96879	-0.02643	0	23.9184	4.87967	0.00521444	0	0	0	0	0
1.5E-006	4.85266	-0.0361941	-2.86057E-005	4.96606	-0.0264096	0	23.9386	4.88035	0.00533827	0	0	0	0	0
2E-006	4.85164	-0.0361874	-2.52591E-005	4.97219	-0.0263416	0	23.9504	4.87933	0.00531484	0	0	0	0	0
2.5E-006	4.85131	-0.0362076	-2.52591E-005	4.97423	-0.0264028	0	23.9521	4.88205	0.00524121	0	0	0	0	0
3E-006	4.85063	-0.0361605	-2.19124E-005	4.96879	-0.0264334	0	23.9471	4.88103	0.00527133	0	0	0	0	0
3.5E-006	4.85131	-0.0361168	-2.19124E-005	4.97219	-0.0264538	0	23.942	4.87933	0.00529141	0	0	0	0	0
4E-006	4.84961	-0.0361538	-1.85657E-005	4.96061	-0.0264062	0	23.9369	4.87831	0.0053048	0	0	0	0	0
4.5E-006	4.85131	-0.0361033	-1.85657E-005	4.97287	-0.0264504	0	23.9319	4.88239	0.00529141	0	0	0	0	0
5E-006	4.85063	-0.0361235	-1.5219E-005	4.97423	-0.0264368	0	23.9251	4.87865	0.00527468	0	0	0	0	0
5.5E-006	4.85198	-0.0362277	-1.5219E-005	4.97696	-0.0264776	0	23.915	4.88035	0.00521778	0	0	0	0	0
6E-006	4.85232	-0.0361201	-1.18724E-005	4.97491	-0.0264844	0	23.9066	4.87967	0.00521109	0	0	0	0	0
6.5E-006	4.85063	-0.0362244	-1.18724E-005	4.97219	-0.0264708	0	23.8999	4.87831	0.00525794	0	0	0	0	0
