 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,-0.00212834,-0.241929,-0.047845,-0.00056441,0.0240927,-0.00858162,0.0267853,-0.00325709,-1.26675,0.0081288,41,29,0.244257,5.23963,6.67392,1.74105,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00379293,-0.24082,-0.0463522,-6.76031e-05,0.0230322,-0.00665248,0.0248111,-0.00184646,-1.30951,0.00757722,48,29,0.200781,5.22027,6.59902,1.78958,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00467358,-0.239762,-0.0447904,0.000334521,0.0221747,-0.00471406,0.0231487,-0.000639538,-1.36704,0.00745043,55,29,0.172961,5.1983,6.52721,1.8402,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00500497,-0.239284,-0.0433534,0.00063442,0.0215246,-0.00276238,0.0218837,0.000275315,-1.44152,0.00739795,62,29,0.157109,5.18505,6.45975,1.91305,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00484818,-0.2394,-0.0426523,0.000825366,0.0210858,-0.000793428,0.0211169,0.000794342,-1.53171,0.00746354,69,29,0.155262,5.18509,6.39966,2.00331,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00478888,-0.239884,-0.042434,0.000901583,0.0208611,0.00119704,0.0209326,0.000830049,1.51111,0.00787546,76,29,0.154051,5.1942,6.31766,2.10291,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00552253,-0.24028,-0.0429647,0.000858367,0.0208519,0.00321366,0.0213557,0.000354516,1.41528,0.00817256,83,29,0.140574,5.20357,6.19404,2.21194,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00528271,-0.25339,-0.0578125,-0.0106124,0.0418084,-0.00753012,0.0428687,-0.0116727,-1.43092,0.00933749,41,36,0.450374,5.49691,6.74268,1.68271,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.00107887,-0.250207,-0.054733,-0.0103056,0.0410608,-0.00579284,0.041706,-0.0109508,-1.45988,0.00803585,48,36,0.346106,5.43268,6.62692,1.6867,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.00195616,-0.247975,-0.0525807,-0.0100669,0.0404666,-0.00404586,0.0407885,-0.0103888,-1.49141,0.00808305,55,36,0.270854,5.38773,6.5238,1.70907,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,-0.00360456,-0.246785,-0.0508317,-0.0099026,0.0400291,-0.00228501,0.0401335,-0.0100069,-1.52516,0.00799297,62,36,0.226181,5.35901,6.44111,1.76434,6.80199,-3.3772
0.354932,3.89602,-0.00604988,-0.00432536,-0.246638,-0.0497362,-0.00981856,0.0397509,-0.000506073,0.039756,-0.00982372,-1.56059,0.00787256,69,36,0.204096,5.35212,6.36834,1.84654,6.73895,-3.29079
0.697311,3.89739,-0.00619977,-0.00563762,-0.247891,-0.0500207,-0.00981987,0.0396337,0.00129529,0.0396676,-0.00985377,1.54463,0.00829012,76,36,0.177398,5.3768,6.25644,1.96714,6.65648,-3.19673
